Charge equilibration on step 10
  iteration: 56, enegtot 4.92078, enegmax 1.90719, fq deviation: 0.346738
  iteration: 57, enegtot 4.93067, enegmax 1.91942, fq deviation: 0.363128
  iteration: 58, enegtot 4.9495, enegmax 1.9144, fq deviation: 0.342377
  iteration: 59, enegtot 4.9726, enegmax 1.90541, fq deviation: 0.309477
  iteration: 60, enegtot 4.9952, enegmax 1.86495, fq deviation: 0.309405
  iteration: 61, enegtot 5.01413, enegmax 1.72369, fq deviation: 0.341511
  iteration: 62, enegtot 5.02762, enegmax 1.49692, fq deviation: 0.350317
  iteration: 63, enegtot 5.03422, enegmax 1.36885, fq deviation: 0.323562
  iteration: 64, enegtot 5.03217, enegmax 1.50484, fq deviation: 0.29271
  iteration: 65, enegtot 5.02046, enegmax 2.04075, fq deviation: 0.276575
  iteration: 66, enegtot 5.00204, enegmax 3.59429, fq deviation: 0.280012
  iteration: 67, enegtot 4.98611, enegmax 4.30003, fq deviation: 0.307564
  iteration: 68, enegtot 4.98357, enegmax 3.74198, fq deviation: 0.353762
  iteration: 69, enegtot 4.99872, enegmax 3.88773, fq deviation: 0.382633
  iteration: 70, enegtot 5.02722, enegmax 3.02045, fq deviation: 0.380456
  iteration: 71, enegtot 5.0608, enegmax 2.17285, fq deviation: 0.355001
  iteration: 72, enegtot 5.09315, enegmax 2.07673, fq deviation: 0.332597
  iteration: 73, enegtot 5.12124, enegmax 1.78075, fq deviation: 0.343434
  iteration: 74, enegtot 5.14298, enegmax 1.51852, fq deviation: 0.367986
  iteration: 75, enegtot 5.15569, enegmax 1.33649, fq deviation: 0.374226
  iteration: 76, enegtot 5.15661, enegmax 1.36084, fq deviation: 0.373533
  iteration: 77, enegtot 5.14555, enegmax 3.20348, fq deviation: 0.364553
  iteration: 78, enegtot 5.12827, enegmax 4.58208, fq deviation: 0.375798
  iteration: 79, enegtot 5.11329, enegmax 4.52579, fq deviation: 0.400828
  iteration: 80, enegtot 5.10143, enegmax 3.07912, fq deviation: 0.436436
  iteration: 81, enegtot 5.08777, enegmax 3.38887, fq deviation: 0.432749
  iteration: 82, enegtot 5.07341, enegmax 3.8915, fq deviation: 0.403108
  iteration: 83, enegtot 5.06352, enegmax 3.27497, fq deviation: 0.397715
  iteration: 84, enegtot 5.05989, enegmax 2.8389, fq deviation: 0.389671
  iteration: 85, enegtot 5.06247, enegmax 2.9445, fq deviation: 0.404376
  iteration: 86, enegtot 5.07249, enegmax 3.20202, fq deviation: 0.428571
  iteration: 87, enegtot 5.09176, enegmax 3.88612, fq deviation: 0.442078
  iteration: 88, enegtot 5.11993, enegmax 3.64457, fq deviation: 0.433783
  iteration: 89, enegtot 5.15241, enegmax 2.53259, fq deviation: 0.424565
  iteration: 90, enegtot 5.18353, enegmax 1.4052, fq deviation: 0.387865
  iteration: 91, enegtot 5.21056, enegmax 1.5448, fq deviation: 0.34898
  iteration: 92, enegtot 5.2334, enegmax 1.63129, fq deviation: 0.357299
  iteration: 93, enegtot 5.25286, enegmax 1.87326, fq deviation: 0.367806
  iteration: 94, enegtot 5.26966, enegmax 2.06071, fq deviation: 0.359526
  iteration: 95, enegtot 5.28407, enegmax 2.11814, fq deviation: 0.35468
  iteration: 96, enegtot 5.29583, enegmax 2.03522, fq deviation: 0.362107
  iteration: 97, enegtot 5.304, enegmax 1.80269, fq deviation: 0.362627
  iteration: 98, enegtot 5.30693, enegmax 1.35689, fq deviation: 0.336725
  iteration: 99, enegtot 5.30237, enegmax 1.29096, fq deviation: 0.298509
Charges did not converge in 100 iterations
Charge equilibration on step 10
  iteration: 0, enegtot 5.30212, enegmax 1.29192, fq deviation: 0.299178
  iteration: 1, enegtot 5.30221, enegmax 1.2666, fq deviation: 0.278846
  iteration: 2, enegtot 5.30236, enegmax 1.23053, fq deviation: 0.256921
  iteration: 3, enegtot 5.3026, enegmax 1.20144, fq deviation: 0.237914
  iteration: 4, enegtot 5.30303, enegmax 1.19056, fq deviation: 0.226129
  iteration: 5, enegtot 5.30378, enegmax 1.20002, fq deviation: 0.211663
  iteration: 6, enegtot 5.30502, enegmax 1.21538, fq deviation: 0.205341
  iteration: 7, enegtot 5.30694, enegmax 1.24804, fq deviation: 0.219257
  iteration: 8, enegtot 5.30989, enegmax 1.28616, fq deviation: 0.242458
  iteration: 9, enegtot 5.31436, enegmax 1.30883, fq deviation: 0.254995
  iteration: 10, enegtot 5.32076, enegmax 1.35054, fq deviation: 0.25287
  iteration: 11, enegtot 5.32919, enegmax 1.48467, fq deviation: 0.248651
  iteration: 12, enegtot 5.3391, enegmax 1.57903, fq deviation: 0.239809
  iteration: 13, enegtot 5.34931, enegmax 1.60443, fq deviation: 0.22549
  iteration: 14, enegtot 5.35828, enegmax 1.55433, fq deviation: 0.219972
  iteration: 15, enegtot 5.36467, enegmax 1.39305, fq deviation: 0.215116
  iteration: 16, enegtot 5.36802, enegmax 1.53235, fq deviation: 0.225727
  iteration: 17, enegtot 5.36918, enegmax 1.76117, fq deviation: 0.245952
  iteration: 18, enegtot 5.37031, enegmax 2.18276, fq deviation: 0.265548
  iteration: 19, enegtot 5.37423, enegmax 2.57771, fq deviation: 0.28585
  iteration: 20, enegtot 5.38332, enegmax 2.45723, fq deviation: 0.297342
  iteration: 21, enegtot 5.39875, enegmax 2.72633, fq deviation: 0.306873
  iteration: 22, enegtot 5.42005, enegmax 2.70921, fq deviation: 0.304762
  iteration: 23, enegtot 5.44465, enegmax 2.23299, fq deviation: 0.291856
  iteration: 24, enegtot 5.46841, enegmax 1.44767, fq deviation: 0.269956
  iteration: 25, enegtot 5.48759, enegmax 1.3312, fq deviation: 0.259977
  iteration: 26, enegtot 5.50006, enegmax 1.47582, fq deviation: 0.257321
  iteration: 27, enegtot 5.50586, enegmax 1.60923, fq deviation: 0.26701
  iteration: 28, enegtot 5.5076, enegmax 2.58152, fq deviation: 0.278763
  iteration: 29, enegtot 5.51015, enegmax 3.12835, fq deviation: 0.286728
  iteration: 30, enegtot 5.518, enegmax 2.97229, fq deviation: 0.28805
  iteration: 31, enegtot 5.53183, enegmax 2.45088, fq deviation: 0.2909
  iteration: 32, enegtot 5.54826, enegmax 2.07545, fq deviation: 0.282856
  iteration: 33, enegtot 5.56293, enegmax 2.12257, fq deviation: 0.266024
  iteration: 34, enegtot 5.5732, enegmax 2.1385, fq deviation: 0.270904
  iteration: 35, enegtot 5.57941, enegmax 2.0839, fq deviation: 0.286405
  iteration: 36, enegtot 5.58414, enegmax 2.50457, fq deviation: 0.28055
  iteration: 37, enegtot 5.58897, enegmax 2.51586, fq deviation: 0.256559
